epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,464.677,0.64464,0.67922,0.92934,0.92567,0.85696,0.9458,0.75415,0.79402,1.23817,1.00928,0.00113898,0.00113898,0.00113898
43,475.55,0.65188,0.67553,0.92344,0.91343,0.86861,0.95402,0.76016,0.79172,1.17805,1.0061,0.00113191,0.00113191,0.00113191
44,486.319,0.64151,0.67528,0.91921,0.92665,0.90732,0.95724,0.78465,0.72347,1.16119,0.95746,0.00112484,0.00112484,0.00112484
45,497.067,0.59978,0.632,0.90324,0.91602,0.89425,0.95853,0.77943,0.73469,1.16782,0.95773,0.00111776,0.00111776,0.00111776
46,508.19,0.63458,0.66697,0.92017,0.90404,0.91926,0.95796,0.79252,0.72144,1.13831,0.95831,0.00111069,0.00111069,0.00111069
47,519.248,0.64969,0.66102,0.92226,0.91338,0.8971,0.95777,0.78717,0.73237,1.14694,0.95584,0.00110362,0.00110362,0.00110362
48,530.247,0.65547,0.63997,0.91025,0.93431,0.88155,0.96153,0.75535,0.85507,1.22598,0.96054,0.00109654,0.00109654,0.00109654
49,541.077,0.65172,0.66018,0.93886,0.92342,0.91254,0.96402,0.77114,0.79337,1.11301,0.95205,0.00108947,0.00108947,0.00108947
50,551.867,0.66439,0.64073,0.92723,0.92955,0.91449,0.9675,0.78997,0.71656,1.04107,0.93573,0.0010824,0.0010824,0.0010824
51,562.604,0.69269,0.64912,0.91181,0.92503,0.92887,0.96745,0.76209,0.81282,1.02462,0.94027,0.00107532,0.00107532,0.00107532
52,573.484,0.70409,0.66444,0.94478,0.95821,0.91178,0.97305,0.77669,0.81713,0.99252,0.93925,0.00106825,0.00106825,0.00106825
53,584.424,0.62885,0.63294,0.89967,0.90918,0.95733,0.97301,0.7887,0.77461,1.00175,0.93052,0.00106118,0.00106118,0.00106118
54,595.449,0.64321,0.63286,0.92407,0.89577,0.93624,0.96176,0.77945,0.83806,1.03388,0.95031,0.0010541,0.0010541,0.0010541
55,606.319,0.62165,0.63024,0.91462,0.89295,0.91529,0.9475,0.7348,0.94324,1.0566,0.9888,0.00104703,0.00104703,0.00104703
56,617.112,0.61316,0.63439,0.91767,0.94484,0.94933,0.97947,0.81417,0.68979,0.9072,0.94696,0.00103995,0.00103995,0.00103995
57,628.034,0.62843,0.58817,0.90849,0.94511,0.95232,0.9804,0.80866,0.72109,0.89682,0.95222,0.00103288,0.00103288,0.00103288
58,639.13,0.60051,0.57397,0.90257,0.93354,0.9373,0.97694,0.79188,0.76687,0.90456,0.96091,0.00102581,0.00102581,0.00102581
59,650.432,0.58306,0.57135,0.90792,0.94727,0.95843,0.98266,0.78615,0.80625,0.92758,0.95475,0.00101873,0.00101873,0.00101873
60,661.85,0.62611,0.59556,0.92792,0.97274,0.94733,0.98604,0.8159,0.71379,0.89201,0.94118,0.00101166,0.00101166,0.00101166
61,672.508,0.60321,0.58165,0.90533,0.9425,0.97284,0.98425,0.81937,0.67738,0.85418,0.92925,0.00100459,0.00100459,0.00100459
62,683.113,0.59655,0.57046,0.91825,0.96072,0.94076,0.98465,0.80479,0.70288,0.84893,0.92652,0.000997513,0.000997513,0.000997513
63,694.054,0.60337,0.56922,0.90684,0.94858,0.94186,0.98272,0.81442,0.70191,0.84975,0.91813,0.00099044,0.00099044,0.00099044
64,704.986,0.57913,0.53382,0.89555,0.97601,0.94924,0.98418,0.84093,0.6293,0.80387,0.90727,0.000983366,0.000983366,0.000983366
65,715.915,0.58261,0.5618,0.88216,0.97177,0.95791,0.98557,0.83922,0.63162,0.81534,0.91302,0.000976293,0.000976293,0.000976293
66,726.779,0.57783,0.56062,0.89348,0.96731,0.96928,0.98545,0.82927,0.67089,0.85705,0.91719,0.000969219,0.000969219,0.000969219
67,737.565,0.56872,0.54746,0.88094,0.98273,0.95885,0.9869,0.82899,0.65526,0.83242,0.92301,0.000962146,0.000962146,0.000962146
68,748.409,0.59946,0.54732,0.89864,0.96444,0.97238,0.98844,0.84006,0.75556,0.81053,0.94148,0.000955072,0.000955072,0.000955072
69,759.223,0.54356,0.53301,0.89848,0.97323,0.97646,0.9906,0.83739,0.73135,0.77826,0.95144,0.000947999,0.000947999,0.000947999
70,770.047,0.56709,0.52977,0.91004,0.97973,0.97351,0.99033,0.83576,0.72054,0.76632,0.94405,0.000940925,0.000940925,0.000940925
71,780.688,0.559,0.54053,0.8851,0.97046,0.96732,0.98939,0.83751,0.6808,0.78384,0.91735,0.000933851,0.000933851,0.000933851
72,791.279,0.56449,0.55206,0.90853,0.96936,0.95475,0.98798,0.83595,0.6906,0.7888,0.90878,0.000926778,0.000926778,0.000926778
73,801.872,0.5596,0.53608,0.88028,0.97221,0.93295,0.98458,0.82445,0.74692,0.84063,0.93149,0.000919704,0.000919704,0.000919704
74,812.754,0.5675,0.577,0.89394,0.9543,0.94492,0.98247,0.82061,0.76187,0.87798,0.9347,0.000912631,0.000912631,0.000912631
75,823.647,0.53006,0.52467,0.87676,0.97112,0.97,0.98788,0.82206,0.7087,0.82259,0.92214,0.000905557,0.000905557,0.000905557
76,834.594,0.52029,0.49469,0.88385,0.95474,0.9484,0.98234,0.83125,0.67341,0.78412,0.91486,0.000898484,0.000898484,0.000898484
77,845.306,0.55395,0.51625,0.89463,0.94097,0.94,0.97846,0.82973,0.6837,0.78058,0.91439,0.00089141,0.00089141,0.00089141
78,856.031,0.49713,0.49741,0.86169,0.95677,0.95772,0.9867,0.83618,0.64144,0.75796,0.91919,0.000884337,0.000884337,0.000884337
79,866.749,0.53187,0.49968,0.90282,0.95312,0.96991,0.98373,0.82788,0.67257,0.77267,0.92918,0.000877263,0.000877263,0.000877263
80,877.641,0.516,0.51281,0.89678,0.96305,0.94962,0.97805,0.84567,0.68296,0.78755,0.94885,0.00087019,0.00087019,0.00087019
81,888.525,0.52406,0.50125,0.88714,0.95523,0.96326,0.97755,0.83647,0.69853,0.79845,0.94862,0.000863116,0.000863116,0.000863116
82,899.355,0.52951,0.50536,0.88757,0.95456,0.96855,0.97749,0.8279,0.73624,0.79983,0.94196,0.000856042,0.000856042,0.000856042
83,909.944,0.52968,0.49622,0.88582,0.93976,0.96884,0.97995,0.81952,0.76042,0.82041,0.93484,0.000848969,0.000848969,0.000848969
84,920.569,0.53074,0.49438,0.87959,0.97032,0.95836,0.98859,0.83396,0.65094,0.73226,0.93118,0.000841895,0.000841895,0.000841895
85,931.288,0.51082,0.48392,0.88566,0.94663,0.95958,0.98698,0.83819,0.62744,0.70335,0.93358,0.000834822,0.000834822,0.000834822
86,942.044,0.52735,0.50007,0.89297,0.96182,0.96527,0.98738,0.83928,0.62927,0.71141,0.93101,0.000827748,0.000827748,0.000827748
87,952.959,0.52794,0.49337,0.90258,0.95628,0.96943,0.98755,0.84127,0.63944,0.73594,0.92965,0.000820675,0.000820675,0.000820675
88,963.622,0.53269,0.48407,0.90278,0.9739,0.95762,0.98674,0.83395,0.68287,0.75855,0.93568,0.000813601,0.000813601,0.000813601
89,974.213,0.56867,0.49226,0.89584,0.96684,0.95957,0.98659,0.82787,0.67358,0.74998,0.93315,0.000806528,0.000806528,0.000806528
90,984.941,0.51948,0.49302,0.88367,0.96206,0.96343,0.98591,0.82572,0.67527,0.73664,0.93743,0.000799454,0.000799454,0.000799454
91,996.08,0.52647,0.47932,0.88868,0.95711,0.97152,0.98597,0.81734,0.66682,0.73969,0.9411,0.00079238,0.00079238,0.00079238
92,1007.01,0.53003,0.48836,0.88301,0.96215,0.96571,0.98555,0.84006,0.6827,0.72317,0.93481,0.000785307,0.000785307,0.000785307
93,1017.96,0.54749,0.48817,0.89648,0.95412,0.96539,0.9857,0.8393,0.72263,0.72201,0.92912,0.000778233,0.000778233,0.000778233
94,1028.45,0.51915,0.47921,0.88808,0.9669,0.95782,0.98632,0.84319,0.74328,0.73858,0.92595,0.00077116,0.00077116,0.00077116
95,1039.02,0.49003,0.45015,0.86865,0.96044,0.9604,0.98732,0.84306,0.68736,0.71268,0.91214,0.000764086,0.000764086,0.000764086
96,1049.71,0.49381,0.45995,0.87928,0.96159,0.95565,0.98921,0.84652,0.71,0.70567,0.92581,0.000757013,0.000757013,0.000757013
97,1060.44,0.48063,0.45283,0.87215,0.96499,0.95498,0.98914,0.84765,0.71371,0.69698,0.93125,0.000749939,0.000749939,0.000749939
98,1071.16,0.49125,0.44873,0.87213,0.962,0.94899,0.98841,0.85828,0.63641,0.68522,0.91534,0.000742866,0.000742866,0.000742866
99,1081.85,0.5408,0.46954,0.89414,0.96452,0.9505,0.98635,0.85654,0.626,0.66404,0.91451,0.000735792,0.000735792,0.000735792
100,1092.47,0.50161,0.45439,0.88142,0.95898,0.95788,0.98513,0.83966,0.65953,0.69308,0.91447,0.000728719,0.000728719,0.000728719
101,1103.01,0.5177,0.47029,0.86282,0.94388,0.9698,0.98481,0.83565,0.62356,0.68527,0.90533,0.000721645,0.000721645,0.000721645
102,1113.79,0.54747,0.47982,0.89808,0.96119,0.96112,0.98572,0.84357,0.59996,0.67217,0.9064,0.000714571,0.000714571,0.000714571
103,1124.52,0.51927,0.45621,0.88368,0.96367,0.95539,0.98645,0.85403,0.57855,0.64776,0.9057,0.000707498,0.000707498,0.000707498
104,1135.37,0.48625,0.43431,0.87112,0.95972,0.95072,0.98729,0.86128,0.59199,0.62322,0.89936,0.000700424,0.000700424,0.000700424
105,1145.89,0.52571,0.44978,0.90181,0.9481,0.9658,0.9873,0.86197,0.59637,0.61839,0.90211,0.000693351,0.000693351,0.000693351
106,1156.81,0.50151,0.44626,0.89783,0.95118,0.96524,0.98723,0.86656,0.59416,0.6437,0.90349,0.000686277,0.000686277,0.000686277
107,1167.54,0.49921,0.44343,0.88752,0.97404,0.94966,0.98719,0.85371,0.60955,0.67807,0.911,0.000679204,0.000679204,0.000679204
108,1178.31,0.46243,0.43155,0.85835,0.97614,0.94507,0.98791,0.85384,0.60561,0.66535,0.92086,0.00067213,0.00067213,0.00067213
109,1189.04,0.49583,0.46067,0.87936,0.97209,0.95565,0.98748,0.85358,0.64,0.65961,0.93017,0.000665057,0.000665057,0.000665057
110,1199.81,0.49801,0.44689,0.88063,0.95662,0.95941,0.98642,0.85054,0.66113,0.67002,0.93269,0.000657983,0.000657983,0.000657983
111,1210.34,0.47676,0.43245,0.87276,0.95193,0.96369,0.98534,0.85326,0.6464,0.65958,0.92249,0.000650909,0.000650909,0.000650909
112,1220.9,0.47568,0.42835,0.87297,0.96192,0.95712,0.98792,0.85693,0.60825,0.65349,0.91364,0.000643836,0.000643836,0.000643836
113,1231.36,0.47148,0.4122,0.86475,0.96774,0.95483,0.98899,0.86157,0.59112,0.64139,0.91321,0.000636762,0.000636762,0.000636762
114,1242.11,0.47909,0.42745,0.87767,0.97306,0.95091,0.98963,0.86197,0.59726,0.65429,0.91908,0.000629689,0.000629689,0.000629689
115,1252.79,0.4707,0.43671,0.87869,0.94863,0.97565,0.98998,0.85972,0.63721,0.67606,0.92721,0.000622615,0.000622615,0.000622615
116,1263.33,0.46911,0.43161,0.88182,0.95652,0.96899,0.98987,0.83319,0.78219,0.69761,0.94528,0.000615542,0.000615542,0.000615542
117,1273.73,0.48502,0.42765,0.88601,0.97042,0.96957,0.98958,0.85046,0.7214,0.67695,0.93303,0.000608468,0.000608468,0.000608468
118,1284.17,0.47975,0.4372,0.87213,0.97125,0.96957,0.98957,0.86451,0.65541,0.65841,0.92146,0.000601395,0.000601395,0.000601395
119,1294.87,0.49755,0.44165,0.88583,0.97542,0.96957,0.98991,0.86648,0.61877,0.65377,0.91371,0.000594321,0.000594321,0.000594321
